accX,accY,accZ,time,microseconds
-6286,5036,-1352,"2022-04-13 10:22:45",362445
-6306,5031,-1369,"2022-04-13 10:22:45",363438
-6284,5028,-1382,"2022-04-13 10:22:45",364431
-6272,5034,-1382,"2022-04-13 10:22:45",365424
-6278,5059,-1374,"2022-04-13 10:22:45",366417
-6305,5054,-1384,"2022-04-13 10:22:45",367410
-6298,5030,-1369,"2022-04-13 10:22:45",368403
-6312,5037,-1386,"2022-04-13 10:22:45",369396
-6301,5055,-1395,"2022-04-13 10:22:45",370389
-6315,5060,-1390,"2022-04-13 10:22:45",371382
-6312,5060,-1401,"2022-04-13 10:22:45",372375
-6288,5022,-1394,"2022-04-13 10:22:45",373368
-6304,5033,-1395,"2022-04-13 10:22:45",374361
-6294,5025,-1403,"2022-04-13 10:22:45",375354
-6288,5026,-1390,"2022-04-13 10:22:45",376347
-6316,5043,-1388,"2022-04-13 10:22:45",377340
-6299,5034,-1395,"2022-04-13 10:22:45",378333
-6278,5055,-1374,"2022-04-13 10:22:45",379326
-6294,5064,-1372,"2022-04-13 10:22:45",380319
-6300,5068,-1367,"2022-04-13 10:22:45",381312
-6298,5039,-1340,"2022-04-13 10:22:45",382305
-6282,5054,-1377,"2022-04-13 10:22:45",383298
-6270,5045,-1386,"2022-04-13 10:22:45",384291
-6290,5035,-1385,"2022-04-13 10:22:45",385284
-6283,5028,-1394,"2022-04-13 10:22:45",386277
-6303,5059,-1392,"2022-04-13 10:22:45",387270
-6299,5035,-1402,"2022-04-13 10:22:45",388263
-6276,5032,-1400,"2022-04-13 10:22:45",389256
-6274,5054,-1382,"2022-04-13 10:22:45",390249
-6288,5052,-1381,"2022-04-13 10:22:45",391242
-6288,5035,-1394,"2022-04-13 10:22:45",392235
-6270,5040,-1365,"2022-04-13 10:22:45",393228
-6294,5042,-1387,"2022-04-13 10:22:45",394221
-6277,5039,-1374,"2022-04-13 10:22:45",395214
-6272,5063,-1374,"2022-04-13 10:22:45",396207
-6294,5046,-1367,"2022-04-13 10:22:45",397200
-6300,5026,-1373,"2022-04-13 10:22:45",398193
-6298,5044,-1374,"2022-04-13 10:22:45",399186
